kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
3657176,K02903.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,17.4166143,1.11E-4,-1.11E-4,141.10369,0.00523,-0.00523,0.489,0.465,-0.277,2.445,0.199,-0.199,314.2,29.5,-29.5,1.84,0.6,-0.19,723.0,,,64.73,62.3,-20.08,13.1,1,q1_q17_dr25_tce,5946.0,176.0,-211.0,4.444,0.07,-0.21,1.017,0.327,-0.109,294.37619,38.75787,14.715
9369366,K02905.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,36.0054414,3.175E-4,-3.175E-4,144.34331,0.00694,-0.00694,0.745,0.056,-0.522,3.262,0.296,-0.296,117.5,10.4,-10.4,3.33,0.54,-1.1,1024.0,,,259.71,128.63,-158.73,14.6,1,q1_q17_dr25_tce,7048.0,172.0,-246.0,3.797,0.252,-0.108,2.838,0.469,-0.938,300.66025,45.853519,12.477
2989706,K02692.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.257689465,1.158E-6,-1.158E-6,132.503649,7.49E-4,-7.49E-4,0.197,0.253,-0.197,0.8399,0.0316,-0.0316,945.6,28.0,-28.0,2.45,0.61,-0.24,1513.0,,,1244.66,938.99,-351.48,45.6,1,q1_q17_dr25_tce,5676.0,172.0,-172.0,4.571,0.05,-0.15,0.787,0.195,-0.078,291.44766,38.149281,15.522
3097346,K00264.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,4.029810359,7.764E-6,-7.764E-6,170.69131,0.00177,-0.00177,0.45,0.032,-0.447,3.3316,0.056,-0.056,111.1,2.1,-2.1,1.77,0.43,-0.64,1479.0,,,1132.21,844.24,-733.71,62.8,1,q1_q17_dr25_tce,5929.0,187.0,-208.0,4.055,0.336,-0.144,1.651,0.399,-0.599,285.68408,38.262817,11.551
5717567,K02752.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.287622419,2.911E-6,-2.911E-6,132.43069,0.00194,-0.00194,0.819,0.007,-0.584,0.821,0.0849,-0.0849,36.5,3.3,-3.3,0.87,0.15,-0.09,1957.0,,,3450.59,1506.43,-823.62,16.9,1,q1_q17_dr25_tce,6170.0,74.0,-80.0,4.308,0.076,-0.114,1.274,0.217,-0.133,295.32401,40.902191,11.514
2708885,K02907.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,1.146934644,3.93E-6,-3.93E-6,132.2666,0.00295,-0.00295,0.405,0.055,-0.404,1.7247,0.0915,-0.0915,256.2,15.5,-15.5,1.39,0.3,-0.14,1554.0,,,1382.04,980.95,-415.64,19.7,1,q1_q17_dr25_tce,5423.0,193.0,-193.0,4.502,0.074,-0.147,0.862,0.189,-0.087,290.47311,37.9062,15.754
6612284,K02908.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,0,1,1.245353252,8.433E-6,-8.433E-6,132.21522,0.00781,-0.00781,0.528,0.126,-0.528,2.152,0.49,-0.49,224.2,16.9,-16.9,1.48,0.44,-0.15,1704.0,,,1996.55,1806.33,-591.51,20.3,1,q1_q17_dr25_tce,5982.0,189.0,-210.0,4.493,0.05,-0.2,0.96,0.285,-0.095,293.6076,42.058998,15.895
5471202,K02911.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,1,12.4258343,1.749E-4,-1.749E-4,141.5311,0.0135,-0.0135,0.967,0.042,-0.056,28.1171,0.0,0.0,449.4,5.5,-5.5,2.75,0.77,-0.31,830.0,,,111.92,92.05,-34.85,72.0,1,q1_q17_dr25_tce,6185.0,168.0,-206.0,4.472,0.048,-0.192,0.991,0.277,-0.111,297.58987,40.60194,14.865
9640439,K02912.01,,FALSE POSITIVE,FALSE POSITIVE,0.052,0,0,1,0,0.873227249,1.897E-6,-1.897E-6,132.23359,0.00199,-0.00199,0.14,0.324,-0.14,0.7948,0.0707,-0.0707,221.8,16.0,-16.0,1.68,0.59,-0.19,2152.0,,,5053.02,5242.9,-1690.03,21.9,1,q1_q17_dr25_tce,6341.0,179.0,-246.0,4.409,0.056,-0.224,1.111,0.389,-0.13,287.69272,46.366928,15.153
6627507,K02697.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,7.37453336,2.516E-5,-2.516E-5,131.55947,0.00324,-0.00324,1.139,18.56,-0.088,3.745,0.141,-0.141,304.4,11.1,-11.1,87.08,13.87,-30.05,1654.0,,,1770.84,776.12,-1103.33,33.1,1,q1_q17_dr25_tce,5028.0,86.0,-160.0,3.289,0.228,-0.152,4.991,0.795,-1.722,297.2952,42.011681,12.904
