kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10795103,K03683.01,Kepler-1515 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,214.3120439,1.427E-4,-1.427E-4,336.330158,4.27E-4,-4.27E-4,0.016,0.146,-0.015,16.2938,0.0251,-0.0251,4523.4,9.6,-9.6,9.17,1.64,-0.93,380.0,,,4.93,2.42,-1.29,562.8,1,q1_q17_dr25_tce,6471.0,116.0,-141.0,4.287,0.063,-0.117,1.357,0.242,-0.138,290.97394,48.178162,12.04
8494410,K03685.02,Kepler-1516 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.2593226,2.656E-5,-2.656E-5,131.71082,0.00291,-0.00291,0.366,0.071,-0.366,6.1394,0.0952,-0.0952,247.5,9.5,-9.5,1.57,0.43,-0.23,967.0,,,206.88,167.67,-73.96,40.1,2,q1_q17_dr25_tce,5914.0,160.0,-178.0,4.421,0.101,-0.188,0.987,0.272,-0.146,291.4946,44.523499,14.461
5784777,K03916.01,Kepler-1529 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.33905606,1.209E-5,-1.209E-5,132.14193,0.00182,-0.00182,0.02,0.435,-0.02,1.6415,0.0631,-0.0631,755.5,31.7,-31.7,1.9,0.19,-0.2,817.0,,,105.25,38.6,-29.19,28.9,1,q1_q17_dr25_tce,5057.0,151.0,-136.0,4.573,0.072,-0.048,0.704,0.072,-0.072,289.8707,41.04073,15.362
6949061,K01960.02,Kepler-343 c,CONFIRMED,CANDIDATE,0.992,0,0,0,0,23.2218115,1.072E-4,-1.072E-4,151.06904,0.00396,-0.00396,0.913,0.015,-0.628,2.744,0.127,-0.127,210.4,13.7,-13.7,2.42,0.39,-0.44,746.0,,,73.08,32.71,-27.68,16.9,2,q1_q17_dr25_tce,5808.0,105.0,-117.0,4.185,0.176,-0.108,1.374,0.221,-0.246,291.96069,42.43301,14.128
7102316,K02028.03,Kepler-351 d,CONFIRMED,CANDIDATE,0.985,0,0,0,0,142.545,0.002746,-0.002746,202.88,0.012,-0.012,0.015,0.451,-0.015,8.75,0.426,-0.426,905.4,68.1,-68.1,2.52,0.69,-0.23,318.0,,,2.42,2.01,-0.65,13.7,3,q1_q17_dr25_tce,5642.0,169.0,-169.0,4.542,0.044,-0.176,0.846,0.233,-0.078,286.4527,42.657879,15.99
11518142,K03762.01,Kepler-1519 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,240.7990472,6.333E-4,-6.333E-4,334.14037,0.00191,-0.00191,0.647,0.04,-0.069,16.666,0.185,-0.185,5022.9,35.5,-35.5,10.31,1.73,-2.11,342.0,,,3.22,1.41,-1.3,170.1,1,q1_q17_dr25_tce,5758.0,78.0,-86.0,4.168,0.182,-0.098,1.385,0.232,-0.283,296.66791,49.461861,14.822
10788461,K03925.01,Kepler-1530 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.2075634,3.568E-4,-3.568E-4,135.801,0.0317,-0.0317,0.898,0.014,-0.641,3.365,0.112,-0.112,1243.1,31.1,-31.1,5.5,1.45,-1.44,972.0,,,211.08,167.28,-110.52,43.4,1,q1_q17_dr25_tce,5678.0,171.0,-188.0,4.215,0.246,-0.164,1.303,0.341,-0.341,288.16251,48.16515,14.026
10788461,K03925.02,Kepler-1530 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.5903958,1.653E-4,-1.653E-4,132.3011,0.0524,-0.0524,0.725,0.213,-0.495,2.088,0.105,-0.105,330.9,20.6,-20.6,2.55,0.67,-0.66,1484.0,,,1147.44,909.35,-600.8,18.3,2,q1_q17_dr25_tce,5678.0,171.0,-188.0,4.215,0.246,-0.164,1.303,0.341,-0.341,288.16251,48.16515,14.026
10788461,K03925.03,Kepler-1530 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,5.3235335,5.815E-4,-5.815E-4,133.0952,0.0899,-0.0899,0.804,0.031,-0.561,2.714,0.176,-0.176,342.4,26.3,-26.3,2.69,0.7,-0.71,1167.0,,,438.71,347.68,-229.71,14.6,3,q1_q17_dr25_tce,5678.0,171.0,-188.0,4.215,0.246,-0.164,1.303,0.341,-0.341,288.16251,48.16515,14.026
12784167,K03848.01,Kepler-1522 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.847892736,2.457E-6,-2.457E-6,132.19915,0.00106,-0.00106,0.036,0.386,-0.036,1.8904,0.0359,-0.0359,323.3,7.3,-7.3,1.51,0.35,-0.15,1374.0,,,843.8,574.04,-224.12,53.3,1,q1_q17_dr25_tce,5763.0,138.0,-155.0,4.557,0.042,-0.168,0.842,0.199,-0.08,289.84323,52.07016,14.216
